motivation,name,year
for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature,Q42747_1972,1972
who in innumerable guises portrays the surprising involvement of the outsider,Q43293_2003,2003
"not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces",Q43440_1906,1906
"primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art",Q43523_1912,1912
"for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind",Q43736_1968,1968
for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience,Q44107_2019,2019
lucupi world hd,Q44183_1983,1983
for his innovative plays and prose which give voice to the unsayable,Q443868_2023,2023
"in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings",Q44519_1909,1909
for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories,Q44593_2001,2001
who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts,Q45970_1980,1980
"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit",Q46405_1903,1903
for the strict artistry with which he has carried on the classical Russian traditions in prose writing,Q46602_1933,1933
"for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity",Q46739_1990,1990
as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings,Q47162_1915,1915
for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power,Q47243_2004,2004
"for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight",Q47484_1947,1947
for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country,Q47561_1961,1961
who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity,Q47619_1991,1991
"in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life",Q47695_1908,1908
for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history,Q47755_2002,2002
"in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations",Q49747_1911,1911
"for his compelling and visionary oeuvre that, in the midst of apocalyptic terror, reaffirms the power of art.",Q512062_2025,2025
for her intense poetic prose that confronts historical traumas and exposes the fragility of human life,Q5646626_2024,2024
"for her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength",Q57074_1966,1966
"for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts",Q5878_1982,1982
whose frolicsome black fables portray the forgotten face of history,Q6538_1999,1999
"who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind",Q7176_1988,1988
"who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality",Q72334_1993,1993
"because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West",Q7241_1913,1913
"for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America",Q75603_1967,1967
"for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life",Q75612_1978,1978
"as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories",Q76487_1910,1910
who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden,Q765_1997,1997
for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general,Q7728_1926,1926
"for writings marked by a broad outlook, a wealth of ideas and artistic power",Q80064_1981,1981
"who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today",Q80095_1994,1994
for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values,Q8016_1953,1953
for his vivid epic power which has renewed the great narrative art of Iceland,Q80321_1955,1955
"for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world",Q80871_1945,1945
principally for her powerful descriptions of Northern life during the Middle Ages,Q80889_1928,1928
for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces,Q80900_1938,1938
for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life,Q81685_1952,1952
for his distinguished art of narration which takes its highest form in <I>The Forsyte Saga</I>,Q82248_1932,1932
"for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times",Q83038_1959,1959
for the human understanding and subtle analysis of contemporary culture that are combined in his work,Q83059_1976,1976
"for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions",Q83174_1975,1975
for the happy manner in which he has continued the illustrious traditions of the Spanish drama,Q83184_1922,1922
"for an all-embracing authorship, imbued with clarity of thought and poetic intensity",Q862_1987,1987
"who with hallucinatory realism merges folk tales, history and the contemporary",Q8998_2012,2012
for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind,Q93137_1951,1951
"for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy",Q93157_1936,1936
"for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past",Q93356_1995,1995
"for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age",Q9364_1964,1964
"for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it.",Q102034_1902,1902
for their discovery of human immunodeficiency virus,Q103598_2008,2008
for their discovery of human immunodeficiency virus,Q103844_2008,2008
for their discoveries concerning the activation of innate immunity,Q104592_2011,2011
for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase,Q104600_2009,2009
for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,Q104607_1963,1963
for the development of in vitro fertilization,Q104913_2010,2010
for his discovery of the dendritic cell and its role in adaptive immunity,Q105494_2011,2011
for their discoveries concerning the activation of innate immunity,Q105605_2011,2011
for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases,Q105830_1976,1976
for their discoveries concerning magnetic resonance imaging,Q106547_2003,2003
for the development of radioimmunoassays of peptide hormones,Q107402_1977,1977
for their interpretation of the genetic code and its function in protein synthesis,Q107462_1968,1968
for his discovery of the antineuritic vitamin,Q107609_1929,1929
for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases,Q108576_1976,1976
for his discovery of the genetic principle for generation of antibody diversity,Q108602_1987,1987
for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system,Q108880_1998,1998
for their interpretation of the genetic code and its function in protein synthesis,Q108891_1968,1968
for the discovery of restriction enzymes and their application to problems of molecular genetics,Q108896_1978,1978
for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell,Q109553_1975,1975
for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism,Q109726_1992,1992
for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism,Q109731_1992,1992
for their interpretation of the genetic code and its function in protein synthesis,Q110060_1968,1968
"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects",Q110101_1950,1950
"for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation",Q110106_1970,1970
for their discoveries of important principles for drug treatment,Q110974_1988,1988
for their discoveries concerning peripheral immune tolerance,Q114564137_2025,2025
"for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles",Q115448_1957,1957
for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs,Q115470_1949,1949
for his discovery of the high efficiency of DDT as a contact poison against several arthropods,Q115475_1948,1948
"for his work on the physiology, pathology and surgery of the thyroid gland",Q115478_1909,1909
"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects",Q115490_1950,1950
for the discovery of restriction enzymes and their application to problems of molecular genetics,Q115495_1978,1978
for their discoveries concerning the specificity of the cell mediated immune defence,Q116064_1996,1996
for their discoveries of receptors for temperature and touch,Q1174906_2021,2021
for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material,Q123280_1962,1962
for their discoveries of molecular mechanisms controlling the circadian rhythm,Q1297741_2017,2017
for the discovery of penicillin and its curative effect in various infectious diseases,Q137106_1945,1945
for their discoveries concerning the peptide hormone production of the brain,Q141147_1977,1977
in recognition of their work on the structure of the nervous system,Q150526_1906,1906
in recognition of their work on the structure of the nervous system,Q150630_1906,1906
for his discovery of the capillary motor regulating mechanism,Q152187_1920,1920
for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,Q152760_1980,1980
for their discoveries concerning organization and elicitation of individual and social behaviour patterns,Q153890_1973,1973
for their discoveries of how cells sense and adapt to oxygen availability,Q1545025_2019,2019
for his discoveries concerning hormonal treatment of prostatic cancer,Q155371_1966,1966
for his discovery relating to the production of heat in the muscle,Q155375_1922,1922
for his discovery of Prions - a new biological principle of infection,Q155380_1997,1997
for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,Q155525_1984,1984
for their discoveries concerning signal transduction in the nervous system,Q155529_2000,2000
for his discoveries concerning the nature and mode of action of oxidation enzymes,Q156480_1955,1955
for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration,Q156482_1938,1938
for their discoveries of how cells sense and adapt to oxygen availability,Q1603351_2019,2019
for their discoveries of molecular mechanisms controlling the circadian rhythm,Q1686435_2017,2017
for their discoveries of cells that constitute a positioning system in the brain,Q1701279_2014,2014
for his discoveries concerning the genomes of extinct hominins and human evolution,Q170342_2022,2022
in recognition of their work on immunity,Q172254_1908,1908
for their discoveries concerning peripheral immune tolerance,Q17502433_2025,2025
for his discoveries concerning the role played by the chromosome in heredity,Q177681_1933,1933
for the discovery of insulin,Q180350_1923,1923
"for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid",Q180468_1937,1937
"in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science.",Q182964_1903,1903
for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material,Q184659_1962,1962
for their discoveries of growth factors,Q185007_1986,1986
in recognition of his work on vascular suture and the transplantation of blood vessels and organs,Q185777_1912,1912
in recognition of his work on the role played by protozoa in causing diseases,Q189006_1907,1907
for his discovery of the mechanism of the electrocardiogram,Q189488_1924,1924
for his discovery of vitamin K,Q190501_1943,1943
for their discoveries concerning organ and cell transplantation in the treatment of human disease,Q192282_1990,1990
for his work on the dioptrics of the eye,Q192651_1911,1911
for the discovery of Hepatitis C virus,Q1927895_2020,2020
for their discoveries of molecular mechanisms controlling the circadian rhythm,Q1929672_2017,2017
for discovery of acquired immunological tolerance,Q193550_1960,1960
for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,Q193650_1963,1963
for her discovery of mobile genetic elements,Q199654_1983,1983
for their discoveries of odorant receptors and the organization of the olfactory system,Q200136_2004,2004
for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease,Q202136_2005,2005
for their discovery of RNA interference - gene silencing by double-stranded RNA,Q202152_2006,2006
for their discovery of the course of the catalytic conversion of glycogen,Q204733_1947,1947
for their discoveries concerning the replication mechanism and the genetic structure of viruses,Q205667_1969,1969
for their discovery of RNA interference - gene silencing by double-stranded RNA,Q206455_2006,2006
for their discoveries of how cells sense and adapt to oxygen availability,Q2075967_2019,2019
for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells,Q207719_2007,2007
for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease,Q208670_2005,2005
for their discoveries concerning a novel therapy against infections caused by roundworm parasites,Q21061207_2015,2015
for their discoveries concerning a novel therapy against infections caused by roundworm parasites,Q21061212_2015,2015
for his discoveries relating to immunity,Q211787_1919,1919
for their discoveries of odorant receptors and the organization of the olfactory system,Q211940_2004,2004
for their discoveries regarding the functions of neurons,Q213504_1932,1932
for discovery of acquired immunological tolerance,Q214209_1960,1960
in recognition of his work on anaphylaxis,Q214851_1913,1913
for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells,Q215574_2007,2007
for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells,Q216318_2007,2007
for his discovery of the Spiroptera carcinoma,Q216324_1926,1926
for their discoveries concerning the primary physiological and chemical visual processes in the eye,Q217722_1967,1967
for their discoveries concerning genetic control of enzyme and virus synthesis,Q218311_1965,1965
for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria,Q218823_1958,1958
for their discoveries of key regulators of the cell cycle,Q219716_2001,2001
for their discoveries concerning the structural and functional organization of the cell,Q219718_1974,1974
for their discoveries concerning genetic control of enzyme and virus synthesis,Q223309_1965,1965
for the development of computer assisted tomography,Q223542_1979,1979
for the discovery of Hepatitis C virus,Q22669757_2020,2020
for his discovery of the chemical nature of vitamin K,Q230612_1943,1943
for their discoveries regarding the functions of neurons,Q231292_1932,1932
for their discoveries concerning genetic control of enzyme and virus synthesis,Q231402_1965,1965
for the discovery of insulin,Q232024_1923,1923
for their discoveries of growth factors,Q232299_1986,1986
for his discoveries concerning the functional specialization of the cerebral hemispheres,Q232305_1981,1981
"for his discovery of streptomycin, the first antibiotic effective against tuberculosis",Q232308_1952,1952
for their discoveries concerning the structural and functional organization of the cell,Q233943_1974,1974
for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid,Q233957_1959,1959
for his work on typhus,Q233965_1928,1928
for his discovery of the growth-stimulating vitamins.,Q233976_1929,1929
for their discoveries concerning genetic regulation of organ development and programmed cell death',Q234463_2002,2002
for their discoveries concerning the structural and functional organization of the cell,Q234590_1974,1974
for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,Q234701_1980,1980
for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell,Q234949_1975,1975
"for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects",Q235651_1950,1950
"for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation",Q237142_1970,1970
for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar,Q237160_1947,1947
for their discovery that genes act by regulating definite chemical events,Q237499_1958,1958
for his discoveries of the physical mechanism of stimulation within the cochlea,Q238716_1961,1961
for their discovery that genes act by regulating definite chemical events,Q238739_1958,1958
for their discovery of cancer therapy by inhibition of negative immune regulation,Q2395341_2018,2018
for their discoveries concerning the peptide hormone production of the brain,Q242169_1977,1977
for their discoveries relating to the highly differentiated functions of single nerve fibres,Q243532_1944,1944
for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell,Q243536_1975,1975
for their discoveries concerning magnetic resonance imaging,Q243601_2003,2003
for their discoveries concerning liver therapy in cases of anaemia,Q245000_1934,1934
for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase,Q26321_2009,2009
for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase,Q26322_2009,2009
for their discoveries concerning information processing in the visual system,Q271421_1981,1981
for their discoveries concerning the regulation of cholesterol metabolism,Q271424_1985,1985
for their discoveries concerning genetic regulation of organ development and programmed cell death',Q271532_2002,2002
for their discoveries concerning the replication mechanism and the genetic structure of viruses,Q271703_1969,1969
for their discoveries concerning heart catheterization and pathological changes in the circulatory system,Q271757_1956,1956
for their discoveries concerning the chemical structure of antibodies,Q271766_1972,1972
for their discoveries relating to the highly differentiated functions of single nerve fibres,Q273201_1944,1944
for his discovery of the therapeutic value of leucotomy in certain psychoses,Q273219_1949,1949
for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane,Q273223_1963,1963
for their discoveries concerning liver therapy in cases of anaemia,Q273238_1934,1934
for the development of computer assisted tomography,Q273769_1979,1979
for their discoveries concerning the genetic control of early embryonic development,Q274123_1995,1995
for their discoveries concerning peripheral immune tolerance,Q28212107_2025,2025
for their discoveries concerning information processing in the visual system,Q295644_1981,1981
for their discoveries concerning genetic regulation of organ development and programmed cell death',Q295659_2002,2002
for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,Q295666_1980,1980
for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid,Q295678_1959,1959
for their discoveries concerning the regulation of cholesterol metabolism,Q295684_1985,1985
for their discovery of the cellular origin of retroviral oncogenes,Q295691_1989,1989
for their discoveries concerning prostaglandins and related biologically active substances,Q295696_1982,1982
for their discoveries concerning the chemical structure of antibodies,Q295700_1972,1972
for the discovery of restriction enzymes and their application to problems of molecular genetics,Q295706_1978,1978
for their discoveries concerning the primary physiological and chemical visual processes in the eye,Q295724_1967,1967
for their discoveries concerning prostaglandins and related biologically active substances,Q295768_1982,1982
for their discoveries of key regulators of the cell cycle,Q295869_2001,2001
for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system,Q295999_1998,1998
for their discovery of G-proteins and the role of these proteins in signal transduction in cells,Q296423_1994,1994
for their discoveries concerning signal transduction in the nervous system,Q298045_2000,2000
for his discovery of tumour-inducing viruses,Q298707_1966,1966
for their discoveries concerning the genetic control of early embryonic development,Q301438_1995,1995
for their discoveries concerning the specificity of the cell mediated immune defence,Q309814_1996,1996
for their discoveries of split genes,Q309816_1993,1993
for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system,Q309820_1998,1998
for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,Q309876_1984,1984
for their discoveries concerning the primary physiological and chemical visual processes in the eye,Q309879_1967,1967
for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,Q309885_1954,1954
for their discoveries concerning prostaglandins and related biologically active substances,Q309971_1982,1982
for their discoveries of key regulators of the cell cycle,Q309977_2001,2001
for their discoveries concerning signal transduction in the nervous system,Q309979_2000,2000
for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,Q310131_1954,1954
for their discoveries concerning organ and cell transplantation in the treatment of human disease,Q310485_1990,1990
for their discoveries of important principles for drug treatment,Q310487_1988,1988
for their discovery of the cellular origin of retroviral oncogenes,Q311358_1989,1989
for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue,Q312961_1954,1954
for their discoveries concerning heart catheterization and pathological changes in the circulatory system,Q312963_1956,1956
for their discoveries of split genes,Q312977_1993,1993
for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism,Q35698_1964,1964
for their discoveries of important principles for drug treatment,Q35703_1988,1988
for the discovery of penicillin and its curative effect in various infectious diseases,Q37064_1945,1945
for his investigations and discoveries in relation to tuberculosis,Q37193_1905,1905
"in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged.",Q42985_1904,1904
"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells",Q444270_2013,2013
for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism,Q44597_1964,1964
"for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation",Q4517_1970,1970
for her discoveries concerning a novel therapy against Malaria,Q462843_2015,2015
for his discoveries concerning yellow fever and how to combat it,Q46928_1951,1951
for the discovery of microRNA and its role in post-transcriptional gene regulation,Q504021_2024,2024
for their discoveries of cells that constitute a positioning system in the brain,Q5341373_2014,2014
for the discovery of Hepatitis C virus,Q5677307_2020,2020
in recognition of their work on immunity,Q57089_1908,1908
"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances",Q57128_1910,1910
for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle,Q57132_1922,1922
for his discovery of the citric acid cycle,Q57191_1953,1953
for the discovery of the antibacterial effects of prontosil,Q57192_1939,1939
for his discovery of the organizer effect in embryonic development,Q57568_1935,1935
for the discovery of penicillin and its curative effect in various infectious diseases,Q58054_1945,1945
for their discovery of G-proteins and the role of these proteins in signal transduction in cells,Q60031_1994,1994
for their discoveries concerning organization and elicitation of individual and social behaviour patterns,Q60060_1973,1973
for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell,Q60108_1999,1999
for their discoveries of receptors for temperature and touch,Q60322501_2021,2021
for their discovery of cancer therapy by inhibition of negative immune regulation,Q6140731_2018,2018
for their discoveries of cells that constitute a positioning system in the brain,Q6796222_2014,2014
for his discoveries concerning the mechanisms of the action of hormones,Q68118_1971,1971
for their discoveries relating to chemical transmission of nerve impulses,Q72194_1936,1936
"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells",Q740638_2013,2013
for his discovery of human papilloma viruses causing cervical cancer,Q75847_2008,2008
"for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths.",Q76425_1901,1901
for his discovery of the nature and mode of action of the respiratory enzyme,Q76464_1931,1931
for their discoveries concerning the replication mechanism and the genetic structure of viruses,Q76807_1969,1969
for their discoveries concerning the function of single ion channels in cells,Q77081_1991,1991
for his discovery of co-enzyme A and its importance for intermediary metabolism,Q77104_1953,1953
for their discoveries concerning the function of single ion channels in cells,Q77126_1991,1991
for their discoveries concerning heart catheterization and pathological changes in the circulatory system,Q77152_1956,1956
for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,Q77160_1984,1984
for their discoveries relating to chemical transmission of nerve impulses,Q77173_1936,1936
for their discoveries concerning the genetic control of early embryonic development,Q77174_1995,1995
for his work on the physiology and pathology of the vestibular apparatus,Q78478_1914,1914
for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica,Q78479_1927,1927
for their discoveries concerning organization and elicitation of individual and social behaviour patterns,Q78496_1973,1973
for their discovery of the course of the catalytic conversion of glycogen,Q78501_1947,1947
for their discoveries concerning liver therapy in cases of anaemia,Q80323_1934,1934
for his discoveries of mechanisms for autophagy,Q8056214_2016,2016
for the discovery that mature cells can be reprogrammed to become pluripotent,Q80917_2012,2012
for the discovery that mature cells can be reprogrammed to become pluripotent,Q81218_2012,2012
for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material,Q83333_1962,1962
for the discovery of the production of mutations by means of X-ray irradiation,Q83598_1946,1946
for his discovery of human blood groups,Q84405_1930,1930
for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19,Q88608397_2023,2023
for their discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19,Q88608402_2023,2023
"for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells",Q97270_2013,2013
for the discovery of microRNA and its role in post-transcriptional gene regulation,Q983858_2024,2024
for their crucial role in bringing about the Locarno Treaty,Q103955_1926,1926
for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work,Q104622_2011,2011
for their work for a better organized and more peaceful world,Q1065_2002,2002
for promoting the principles of the Geneva Convention and cooperation with the UN,Q1069175_1963,1963
for their non-violent struggle for the safety of women and for women's rights to full participation in peace-building work,Q107037_2011,2011
"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy.",Q114452906_2022,2022
for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane.,Q115095_1904,1904
for their work towards a just and peaceful solution to the conflict in East Timor,Q11665_1996,1996
"The Peace Prize laureates represent civil society in their home countries. They have for many years promoted the right to criticise power and protect the fundamental rights of citizens. They have made an outstanding effort to document war crimes, human right abuses and the abuse of power. Together they demonstrate the significance of civil society for peace and democracy",Q118263_2022,2022
for their efforts to end the use of sexual violence as a weapon of war and armed conflict,Q1187542_2018,2018
"for his work in the press and in peace meetings, both public and private, for an understanding between France and Italyengels",Q12086_1907,1907
for his humanitarian efforts to help wounded soldiers and create international understanding.,Q12091_1901,1901
for his untiring and skilful directorship of the Bern Peace Bureau.,Q122368_1902,1902
for their work for a better organized and more peaceful world,Q1254_2001,2001
"for developing the UN into an effective and constructive international organization, capable of giving life to the principles and aims expressed in the UN Charter",Q1267_1961,1961
"for his tireless effort in support of the League of Nations, disarmament and peace",Q12702_1937,1937
for his crucial contribution to the deployment of a United Nations Emergency Force in the wake of the Suez Crisis,Q128604_1957,1957
for jointly having negotiated peace between Egypt and Israel in 1978,Q130873_1978,1978
for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children,Q131152_2003,2003
for its efforts to heal the wounds of war by providing help and protection to refugees all over the world,Q132551_1954,1954
for promoting the fundamental rights of refugees,Q132551_1981,1981
for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way,Q133308_2005,2005
for proposing and supervising the plan for the economic recovery of Europe,Q151414_1953,1953
"for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa",Q151813_1993,1993
for their work for disarmament and nuclear and weapon-free zones,Q152437_1982,1982
for having given a well-founded hope - the green revolution,Q154824_1970,1970
for having devoted his life to the fight against war through the promotion of social justice and brotherhood among men and nations,Q155415_1951,1951
for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland,Q157655_1976,1976
for the courageous efforts in founding a movement to put an end to the violent conflict in Northern Ireland,Q157690_1976,1976
for his efforts to help refugees to leave their camps and return to a life of freedom and dignity,Q158850_1958,1958
for promoting Christian unity and helping create 'that new attitude of mind which is necessary if peace between nations is to become reality',Q159723_1930,1930
for his contribution to the creation of a peace-promoting religious brotherhood across national boundaries,Q159726_1946,1946
"for their pioneering work in the international peace movement and compassionate effort to relieve human suffering, thereby promoting the fraternity between nations",Q170208_1947,1947
"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change",Q171183_2007,2007
for advocating peaceful solutions based upon tolerance and mutual respect in order to preserve the historical and cultural heritage of his people,Q17293_1989,1989
for his eminently practical administration of the Inter-Parliamentary Union.,Q179458_1902,1902
for his contribution to stabilize conditions in the Pacific rim area and for signing the Nuclear Non-Proliferation Treaty,Q179871_1974,1974
for their crucial role in bringing about the Locarno Treaty,Q179888_1926,1926
"for his lifelong work for international peace conferences, diplomacy and arbitration",Q180409_1901,1901
for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind,Q180989_1931,1931
"for their efforts to safeguard freedom of expression, which is a precondition for democracy and lasting peace.",Q1823418_2021,2021
"for being a messenger to mankind: his message is one of peace, atonement and dignity",Q18391_1986,1986
for her audacity to oppose the horrors of war.,Q18456_1905,1905
for his crucial role in bringing about the Dawes Plan,Q184565_1925,1925
,Q187052_1997,1997
for their efforts to create economic and social development from below,Q188567_2006,2006
for her struggle for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples,Q188620_1992,1992
for his crucial role in bringing about the Locarno Treaty,Q188999_1925,1925
for his longstanding and devoted effort in favour of the ideas of peace and arbitration.,Q189841_1903,1903
for his unparalleled contribution to the organization of peaceful internationalism,Q190894_1913,1913
"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors",Q191016_1908,1908
for their efforts to find a peaceful solution to the conflict in Northern Ireland,Q192556_1998,1998
"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors",Q192618_1908,1908
for his crucial role in bringing about the Briand-Kellogg Pact,Q193009_1929,1929
for their efforts to find a peaceful solution to the conflict in Northern Ireland,Q193630_1998,1998
"for his role as father of the Argentine Antiwar Pact of 1933, which he also used as a means to mediate peace between Paraguay and Bolivia in 1935",Q193672_1936,1936
"for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change",Q19673_2007,2007
